========================================
[2026-03-20 16:03:08] RIFUSDT 从primary榜消失
  霸榜次数: 115 | 最后BBW: 5.36% | 最后价格: 0.0386
  最后Ratio: 1.09

========================================
[2026-03-20 16:03:08] BROCCOLIF3BUSDT 从secondary榜消失
  霸榜次数: 59 | 最后BBW: 5.77% | 最后价格: 0.00317
  最后Ratio: 1.16

========================================
[2026-03-20 16:03:08] KNCUSDT 从primary榜消失
  霸榜次数: 36 | 最后BBW: 2.63% | 最后价格: 0.1356
  最后Ratio: 1.47

========================================
[2026-03-20 16:03:08] BCHUSDT 从primary榜消失
  霸榜次数: 19 | 最后BBW: 3.54% | 最后价格: 465.9
  最后Ratio: 0.07

========================================
[2026-03-20 16:03:08] CVCUSDT 从primary榜消失
  霸榜次数: 15 | 最后BBW: 2.15% | 最后价格: 0.03151
  最后Ratio: 0.84

========================================
[2026-03-20 16:03:08] ARPAUSDT 从primary榜消失
  霸榜次数: 15 | 最后BBW: 2.52% | 最后价格: 0.00992
  最后Ratio: 1.58

========================================
[2026-03-20 16:03:08] CAKEUSDT 从primary榜消失
  霸榜次数: 13 | 最后BBW: 2.12% | 最后价格: 1.427
  最后Ratio: 1.15

========================================
[2026-03-20 16:03:08] ALLOUSDT 从primary榜消失
[2026-03-21 12:48:15] DISAPPEAR: BLESSUSDT (Board:secondary, Rounds:2, LastBBW:1.55%)
[2026-03-21 13:00:15] DISAPPEAR: KOMAUSDT (Board:secondary, Rounds:19, LastBBW:3.86%)
[2026-03-21 13:00:15] DISAPPEAR: ORDERUSDT (Board:secondary, Rounds:12, LastBBW:1.97%)
[2026-03-21 13:00:15] DISAPPEAR: GOATUSDT (Board:secondary, Rounds:12, LastBBW:1.86%)
[2026-03-21 13:00:15] DISAPPEAR: ETHWUSDT (Board:secondary, Rounds:12, LastBBW:2.14%)
[2026-03-21 13:00:15] DISAPPEAR: SAFEUSDT (Board:secondary, Rounds:6, LastBBW:2.27%)
[2026-03-21 13:17:05] DISAPPEAR: TRXUSDT (Board:primary, Rounds:171, LastBBW:1.71%)
[2026-03-21 13:17:05] DISAPPEAR: TWTUSDT (Board:primary, Rounds:169, LastBBW:3.53%)
[2026-03-21 13:17:05] DISAPPEAR: TLMUSDT (Board:primary, Rounds:132, LastBBW:2.87%)
[2026-03-21 13:17:05] DISAPPEAR: FFUSDT (Board:primary, Rounds:124, LastBBW:0.56%)
[2026-03-21 13:17:05] DISAPPEAR: PROVEUSDT (Board:primary, Rounds:124, LastBBW:2.05%)
[2026-03-21 13:17:05] DISAPPEAR: GMXUSDT (Board:primary, Rounds:124, LastBBW:2.60%)
[2026-03-21 13:17:05] DISAPPEAR: GASUSDT (Board:primary, Rounds:117, LastBBW:1.83%)
[2026-03-21 13:17:05] DISAPPEAR: SPKUSDT (Board:primary, Rounds:117, LastBBW:1.95%)
[2026-03-21 13:17:05] DISAPPEAR: LTCUSDT (Board:primary, Rounds:117, LastBBW:2.63%)
[2026-03-21 13:17:05] DISAPPEAR: KAITOUSDT (Board:primary, Rounds:117, LastBBW:3.44%)
[2026-03-21 13:17:05] DISAPPEAR: BNBUSDT (Board:primary, Rounds:64, LastBBW:0.96%)
[2026-03-21 13:17:05] DISAPPEAR: BANDUSDT (Board:primary, Rounds:62, LastBBW:1.91%)
[2026-03-21 13:17:05] DISAPPEAR: XLMUSDT (Board:primary, Rounds:62, LastBBW:2.08%)
[2026-03-21 13:17:05] DISAPPEAR: CAKEUSDT (Board:primary, Rounds:48, LastBBW:3.87%)
[2026-03-21 13:17:05] DISAPPEAR: KNCUSDT (Board:primary, Rounds:32, LastBBW:1.37%)
[2026-03-21 13:17:05] DISAPPEAR: OPENUSDT (Board:primary, Rounds:32, LastBBW:1.95%)
[2026-03-21 13:17:05] DISAPPEAR: BCHUSDT (Board:primary, Rounds:32, LastBBW:2.18%)
[2026-03-21 13:17:05] DISAPPEAR: ARPAUSDT (Board:primary, Rounds:32, LastBBW:3.07%)
[2026-03-21 13:17:05] DISAPPEAR: CVCUSDT (Board:primary, Rounds:32, LastBBW:5.29%)
[2026-03-21 13:17:05] DISAPPEAR: EWJUSDT (Board:secondary, Rounds:20, LastBBW:3.47%)
[2026-03-21 13:17:05] DISAPPEAR: CCUSDT (Board:secondary, Rounds:20, LastBBW:4.60%)
